refresh_time,target_time,lead_step,predicted_load_kW,hour,weekday,is_weekend,month,is_holiday
2010-11-17 23:45:00,2010-11-18 00:00:00,1,0.4056,0,3,0,11,0
2010-11-17 23:45:00,2010-11-18 00:15:00,2,0.3858,0,3,0,11,0
2010-11-17 23:45:00,2010-11-18 00:30:00,3,0.3893,0,3,0,11,0
2010-11-17 23:45:00,2010-11-18 00:45:00,4,0.4062,0,3,0,11,0
2010-11-17 23:45:00,2010-11-18 01:00:00,5,0.3944,1,3,0,11,0
2010-11-17 23:45:00,2010-11-18 01:15:00,6,0.3963,1,3,0,11,0
2010-11-17 23:45:00,2010-11-18 01:30:00,7,0.4087,1,3,0,11,0
2010-11-17 23:45:00,2010-11-18 01:45:00,8,0.4178,1,3,0,11,0
2010-11-17 23:45:00,2010-11-18 02:00:00,9,0.3805,2,3,0,11,0
2010-11-17 23:45:00,2010-11-18 02:15:00,10,0.3823,2,3,0,11,0
2010-11-17 23:45:00,2010-11-18 02:30:00,11,0.3674,2,3,0,11,0
2010-11-17 23:45:00,2010-11-18 02:45:00,12,0.3735,2,3,0,11,0
2010-11-17 23:45:00,2010-11-18 03:00:00,13,0.3616,3,3,0,11,0
2010-11-17 23:45:00,2010-11-18 03:15:00,14,0.3633,3,3,0,11,0
2010-11-17 23:45:00,2010-11-18 03:30:00,15,0.3676,3,3,0,11,0
2010-11-17 23:45:00,2010-11-18 03:45:00,16,0.3684,3,3,0,11,0
2010-11-17 23:45:00,2010-11-18 04:00:00,17,0.3705,4,3,0,11,0
2010-11-17 23:45:00,2010-11-18 04:15:00,18,0.3778,4,3,0,11,0
2010-11-17 23:45:00,2010-11-18 04:30:00,19,0.3591,4,3,0,11,0
2010-11-17 23:45:00,2010-11-18 04:45:00,20,0.37,4,3,0,11,0
2010-11-17 23:45:00,2010-11-18 05:00:00,21,0.3727,5,3,0,11,0
2010-11-17 23:45:00,2010-11-18 05:15:00,22,0.3627,5,3,0,11,0
2010-11-17 23:45:00,2010-11-18 05:30:00,23,0.3878,5,3,0,11,0
2010-11-17 23:45:00,2010-11-18 05:45:00,24,0.3531,5,3,0,11,0
2010-11-17 23:45:00,2010-11-18 06:00:00,25,0.4015,6,3,0,11,0
2010-11-17 23:45:00,2010-11-18 06:15:00,26,0.3938,6,3,0,11,0
2010-11-17 23:45:00,2010-11-18 06:30:00,27,0.4352,6,3,0,11,0
2010-11-17 23:45:00,2010-11-18 06:45:00,28,0.5741,6,3,0,11,0
2010-11-17 23:45:00,2010-11-18 07:00:00,29,0.4804,7,3,0,11,0
2010-11-17 23:45:00,2010-11-18 07:15:00,30,0.5632,7,3,0,11,0
2010-11-17 23:45:00,2010-11-18 07:30:00,31,0.565,7,3,0,11,0
2010-11-17 23:45:00,2010-11-18 07:45:00,32,0.5114,7,3,0,11,0
2010-11-17 23:45:00,2010-11-18 08:00:00,33,0.5292,8,3,0,11,0
2010-11-17 23:45:00,2010-11-18 08:15:00,34,0.4208,8,3,0,11,0
2010-11-17 23:45:00,2010-11-18 08:30:00,35,0.4398,8,3,0,11,0
2010-11-17 23:45:00,2010-11-18 08:45:00,36,0.4214,8,3,0,11,0
2010-11-17 23:45:00,2010-11-18 09:00:00,37,0.4573,9,3,0,11,0
2010-11-17 23:45:00,2010-11-18 09:15:00,38,0.4278,9,3,0,11,0
2010-11-17 23:45:00,2010-11-18 09:30:00,39,0.4303,9,3,0,11,0
2010-11-17 23:45:00,2010-11-18 09:45:00,40,0.4213,9,3,0,11,0
2010-11-17 23:45:00,2010-11-18 10:00:00,41,0.4293,10,3,0,11,0
2010-11-17 23:45:00,2010-11-18 10:15:00,42,0.4205,10,3,0,11,0
2010-11-17 23:45:00,2010-11-18 10:30:00,43,0.4338,10,3,0,11,0
2010-11-17 23:45:00,2010-11-18 10:45:00,44,0.4253,10,3,0,11,0
2010-11-17 23:45:00,2010-11-18 11:00:00,45,0.4077,11,3,0,11,0
2010-11-17 23:45:00,2010-11-18 11:15:00,46,0.3985,11,3,0,11,0
2010-11-17 23:45:00,2010-11-18 11:30:00,47,0.3918,11,3,0,11,0
2010-11-17 23:45:00,2010-11-18 11:45:00,48,0.4098,11,3,0,11,0
2010-11-17 23:45:00,2010-11-18 12:00:00,49,0.4116,12,3,0,11,0
2010-11-17 23:45:00,2010-11-18 12:15:00,50,0.4061,12,3,0,11,0
2010-11-17 23:45:00,2010-11-18 12:30:00,51,0.4263,12,3,0,11,0
2010-11-17 23:45:00,2010-11-18 12:45:00,52,0.4126,12,3,0,11,0
2010-11-17 23:45:00,2010-11-18 13:00:00,53,0.4257,13,3,0,11,0
2010-11-17 23:45:00,2010-11-18 13:15:00,54,0.4119,13,3,0,11,0
2010-11-17 23:45:00,2010-11-18 13:30:00,55,0.3929,13,3,0,11,0
2010-11-17 23:45:00,2010-11-18 13:45:00,56,0.4233,13,3,0,11,0
2010-11-17 23:45:00,2010-11-18 14:00:00,57,0.408,14,3,0,11,0
2010-11-17 23:45:00,2010-11-18 14:15:00,58,0.4245,14,3,0,11,0
2010-11-17 23:45:00,2010-11-18 14:30:00,59,0.3996,14,3,0,11,0
2010-11-17 23:45:00,2010-11-18 14:45:00,60,0.3952,14,3,0,11,0
2010-11-17 23:45:00,2010-11-18 15:00:00,61,0.3937,15,3,0,11,0
2010-11-17 23:45:00,2010-11-18 15:15:00,62,0.4034,15,3,0,11,0
2010-11-17 23:45:00,2010-11-18 15:30:00,63,0.4019,15,3,0,11,0
2010-11-17 23:45:00,2010-11-18 15:45:00,64,0.4024,15,3,0,11,0
2010-11-17 23:45:00,2010-11-18 16:00:00,65,0.4621,16,3,0,11,0
2010-11-17 23:45:00,2010-11-18 16:15:00,66,0.4558,16,3,0,11,0
2010-11-17 23:45:00,2010-11-18 16:30:00,67,0.4585,16,3,0,11,0
2010-11-17 23:45:00,2010-11-18 16:45:00,68,0.4485,16,3,0,11,0
2010-11-17 23:45:00,2010-11-18 17:00:00,69,0.5231,17,3,0,11,0
2010-11-17 23:45:00,2010-11-18 17:15:00,70,0.5369,17,3,0,11,0
2010-11-17 23:45:00,2010-11-18 17:30:00,71,0.4993,17,3,0,11,0
2010-11-17 23:45:00,2010-11-18 17:45:00,72,0.5081,17,3,0,11,0
2010-11-17 23:45:00,2010-11-18 18:00:00,73,0.5402,18,3,0,11,0
2010-11-17 23:45:00,2010-11-18 18:15:00,74,0.548,18,3,0,11,0
2010-11-17 23:45:00,2010-11-18 18:30:00,75,0.5949,18,3,0,11,0
2010-11-17 23:45:00,2010-11-18 18:45:00,76,0.5985,18,3,0,11,0
2010-11-17 23:45:00,2010-11-18 19:00:00,77,0.6378,19,3,0,11,0
2010-11-17 23:45:00,2010-11-18 19:15:00,78,0.5674,19,3,0,11,0
2010-11-17 23:45:00,2010-11-18 19:30:00,79,0.621,19,3,0,11,0
2010-11-17 23:45:00,2010-11-18 19:45:00,80,0.5627,19,3,0,11,0
2010-11-17 23:45:00,2010-11-18 20:00:00,81,0.6112,20,3,0,11,0
2010-11-17 23:45:00,2010-11-18 20:15:00,82,0.6958,20,3,0,11,0
2010-11-17 23:45:00,2010-11-18 20:30:00,83,0.8032,20,3,0,11,0
2010-11-17 23:45:00,2010-11-18 20:45:00,84,0.8606,20,3,0,11,0
2010-11-17 23:45:00,2010-11-18 21:00:00,85,0.903,21,3,0,11,0
2010-11-17 23:45:00,2010-11-18 21:15:00,86,1.0217,21,3,0,11,0
2010-11-17 23:45:00,2010-11-18 21:30:00,87,1.0343,21,3,0,11,0
2010-11-17 23:45:00,2010-11-18 21:45:00,88,0.9802,21,3,0,11,0
2010-11-17 23:45:00,2010-11-18 22:00:00,89,0.9839,22,3,0,11,0
2010-11-17 23:45:00,2010-11-18 22:15:00,90,0.8773,22,3,0,11,0
2010-11-17 23:45:00,2010-11-18 22:30:00,91,0.649,22,3,0,11,0
2010-11-17 23:45:00,2010-11-18 22:45:00,92,0.6192,22,3,0,11,0
2010-11-17 23:45:00,2010-11-18 23:00:00,93,0.4972,23,3,0,11,0
2010-11-17 23:45:00,2010-11-18 23:15:00,94,0.4817,23,3,0,11,0
2010-11-17 23:45:00,2010-11-18 23:30:00,95,0.4708,23,3,0,11,0
2010-11-17 23:45:00,2010-11-18 23:45:00,96,0.473,23,3,0,11,0
2010-11-18 00:00:00,2010-11-18 00:15:00,1,0.3867,0,3,0,11,0
2010-11-18 00:00:00,2010-11-18 00:30:00,2,0.3981,0,3,0,11,0
2010-11-18 00:00:00,2010-11-18 00:45:00,3,0.4117,0,3,0,11,0
2010-11-18 00:00:00,2010-11-18 01:00:00,4,0.3915,1,3,0,11,0
2010-11-18 00:00:00,2010-11-18 01:15:00,5,0.3996,1,3,0,11,0
2010-11-18 00:00:00,2010-11-18 01:30:00,6,0.4134,1,3,0,11,0
2010-11-18 00:00:00,2010-11-18 01:45:00,7,0.3969,1,3,0,11,0
2010-11-18 00:00:00,2010-11-18 02:00:00,8,0.3922,2,3,0,11,0
2010-11-18 00:00:00,2010-11-18 02:15:00,9,0.3692,2,3,0,11,0
2010-11-18 00:00:00,2010-11-18 02:30:00,10,0.3801,2,3,0,11,0
2010-11-18 00:00:00,2010-11-18 02:45:00,11,0.3809,2,3,0,11,0
2010-11-18 00:00:00,2010-11-18 03:00:00,12,0.3695,3,3,0,11,0
