origin_time,target_time,actual_kw,predicted_kw
2010-11-24 21:15:00,2010-11-24 21:15:00,0.7352,0.641281
2010-11-24 21:15:00,2010-11-24 21:30:00,0.6006667,0.7169767
2010-11-24 21:15:00,2010-11-24 21:45:00,0.45666665,0.6744927
2010-11-24 21:15:00,2010-11-24 22:00:00,0.49359998,0.65233797
2010-11-24 21:15:00,2010-11-24 22:15:00,0.5081333,0.6025944
2010-11-24 21:15:00,2010-11-24 22:30:00,0.34373334,0.5507872
2010-11-24 21:15:00,2010-11-24 22:45:00,0.26226667,0.5060644
2010-11-24 21:15:00,2010-11-24 23:00:00,0.21373333,0.48790088
2010-11-24 21:15:00,2010-11-24 23:15:00,0.18946666,0.45914885
2010-11-24 21:15:00,2010-11-24 23:30:00,0.20653333,0.43785647
2010-11-24 21:15:00,2010-11-24 23:45:00,0.1708,0.4373863
2010-11-24 21:15:00,2010-11-25 00:00:00,0.23986667,0.34086627
2010-11-24 21:15:00,2010-11-25 00:15:00,0.16853333,0.33149964
2010-11-24 21:15:00,2010-11-25 00:30:00,0.16266666,0.311012
2010-11-24 21:15:00,2010-11-25 00:45:00,0.27199998,0.33115906
2010-11-24 21:15:00,2010-11-25 01:00:00,0.13106667,0.3291315
2010-11-24 21:15:00,2010-11-25 01:15:00,0.1796,0.31532767
2010-11-24 21:15:00,2010-11-25 01:30:00,0.25893334,0.30043572
2010-11-24 21:15:00,2010-11-25 01:45:00,0.123066664,0.2989569
2010-11-24 21:15:00,2010-11-25 02:00:00,0.21666667,0.2922441
2010-11-24 21:15:00,2010-11-25 02:15:00,0.2052,0.29139832
2010-11-24 21:15:00,2010-11-25 02:30:00,0.17493334,0.28244713
2010-11-24 21:15:00,2010-11-25 02:45:00,0.2104,0.29111633
2010-11-24 21:15:00,2010-11-25 03:00:00,0.16226667,0.29911676
2010-11-24 21:15:00,2010-11-25 03:15:00,0.23239999,0.29433775
2010-11-24 21:15:00,2010-11-25 03:30:00,0.17533332,0.29972973
2010-11-24 21:15:00,2010-11-25 03:45:00,0.16866666,0.29729918
2010-11-24 21:15:00,2010-11-25 04:00:00,0.27186665,0.29248103
2010-11-24 21:15:00,2010-11-25 04:15:00,0.12733333,0.29764968
2010-11-24 21:15:00,2010-11-25 04:30:00,0.18413332,0.30337447
2010-11-24 21:15:00,2010-11-25 04:45:00,0.25746667,0.30559903
2010-11-24 21:15:00,2010-11-25 05:00:00,0.12253332,0.2886725
2010-11-24 21:15:00,2010-11-25 05:15:00,0.2212,0.31981388
2010-11-24 21:15:00,2010-11-25 05:30:00,0.19066666,0.32017282
2010-11-24 21:15:00,2010-11-25 05:45:00,0.18533333,0.3185169
2010-11-24 21:15:00,2010-11-25 06:00:00,0.20133333,0.33805856
2010-11-24 21:15:00,2010-11-25 06:15:00,0.15693334,0.36798027
2010-11-24 21:15:00,2010-11-25 06:30:00,0.2681333,0.4827863
2010-11-24 21:15:00,2010-11-25 06:45:00,0.8534667,0.49660063
2010-11-24 21:15:00,2010-11-25 07:00:00,0.40053332,0.47987184
2010-11-24 21:15:00,2010-11-25 07:15:00,0.6062667,0.4756118
2010-11-24 21:15:00,2010-11-25 07:30:00,0.35653332,0.5275389
2010-11-24 21:15:00,2010-11-25 07:45:00,0.43866664,0.5572188
2010-11-24 21:15:00,2010-11-25 08:00:00,0.41986668,0.56761605
2010-11-24 21:15:00,2010-11-25 08:15:00,0.45013332,0.52244335
2010-11-24 21:15:00,2010-11-25 08:30:00,0.5382666,0.49117938
2010-11-24 21:15:00,2010-11-25 08:45:00,0.52199996,0.4613004
2010-11-24 21:15:00,2010-11-25 09:00:00,0.5829333,0.41835415
2010-11-24 21:15:00,2010-11-25 09:15:00,0.50146663,0.41423172
2010-11-24 21:15:00,2010-11-25 09:30:00,0.48426667,0.430147
2010-11-24 21:15:00,2010-11-25 09:45:00,0.49666664,0.4093333
2010-11-24 21:15:00,2010-11-25 10:00:00,0.2016,0.40916598
2010-11-24 21:15:00,2010-11-25 10:15:00,0.17546663,0.417571
2010-11-24 21:15:00,2010-11-25 10:30:00,0.21919997,0.44077617
2010-11-24 21:15:00,2010-11-25 10:45:00,0.18359996,0.41557965
2010-11-24 21:15:00,2010-11-25 11:00:00,0.1486666,0.40071964
2010-11-24 21:15:00,2010-11-25 11:15:00,0.27133337,0.4064224
2010-11-24 21:15:00,2010-11-25 11:30:00,0.14919999,0.4189321
2010-11-24 21:15:00,2010-11-25 11:45:00,0.15893327,0.4072576
2010-11-24 21:15:00,2010-11-25 12:00:00,0.28439996,0.4091664
2010-11-24 21:15:00,2010-11-25 12:15:00,0.12546663,0.38320404
2010-11-24 21:15:00,2010-11-25 12:30:00,0.21013331,0.39356497
2010-11-24 21:15:00,2010-11-25 12:45:00,0.9637333,0.37875846
2010-11-24 21:15:00,2010-11-25 13:00:00,0.4665333,0.37942773
2010-11-24 21:15:00,2010-11-25 13:15:00,0.68146664,0.36235192
2010-11-24 21:15:00,2010-11-25 13:30:00,0.59239995,0.35062823
2010-11-24 21:15:00,2010-11-25 13:45:00,0.47093332,0.3401346
2010-11-24 21:15:00,2010-11-25 14:00:00,0.48746666,0.37271473
2010-11-24 21:15:00,2010-11-25 14:15:00,0.3624,0.39784637
2010-11-24 21:15:00,2010-11-25 14:30:00,0.22466666,0.38679668
2010-11-24 21:15:00,2010-11-25 14:45:00,0.20759998,0.34890476
2010-11-24 21:15:00,2010-11-25 15:00:00,0.13346663,0.34955674
2010-11-24 21:15:00,2010-11-25 15:15:00,0.24533334,0.33912733
2010-11-24 21:15:00,2010-11-25 15:30:00,0.18573333,0.3427333
2010-11-24 21:15:00,2010-11-25 15:45:00,0.17186667,0.398312
2010-11-24 21:15:00,2010-11-25 16:00:00,0.2068,0.38654777
2010-11-24 21:15:00,2010-11-25 16:15:00,0.19160001,0.37928054
2010-11-24 21:15:00,2010-11-25 16:30:00,0.21613333,0.38218185
2010-11-24 21:15:00,2010-11-25 16:45:00,0.13426666,0.39700526
2010-11-24 21:15:00,2010-11-25 17:00:00,0.26146665,0.40937746
2010-11-24 21:15:00,2010-11-25 17:15:00,0.29333332,0.42067954
2010-11-24 21:15:00,2010-11-25 17:30:00,0.41079998,0.4211564
2010-11-24 21:15:00,2010-11-25 17:45:00,0.54693335,0.43925107
2010-11-24 21:15:00,2010-11-25 18:00:00,0.45559996,0.45821425
2010-11-24 21:15:00,2010-11-25 18:15:00,0.5201333,0.5262843
2010-11-24 21:15:00,2010-11-25 18:30:00,0.5048,0.47660527
2010-11-24 21:15:00,2010-11-25 18:45:00,0.5197333,0.4975873
2010-11-24 21:15:00,2010-11-25 19:00:00,0.49173334,0.5352221
2010-11-24 21:15:00,2010-11-25 19:15:00,0.45293334,0.55596703
2010-11-24 21:15:00,2010-11-25 19:30:00,0.9118666,0.6783341
2010-11-24 21:15:00,2010-11-25 19:45:00,0.8441333,0.58208656
2010-11-24 21:15:00,2010-11-25 20:00:00,0.998,0.6409877
2010-11-24 21:15:00,2010-11-25 20:15:00,0.68106663,0.6091991
2010-11-24 21:15:00,2010-11-25 20:30:00,1.4341334,0.572567
2010-11-24 21:15:00,2010-11-25 20:45:00,1.578,0.59426576
2010-11-24 21:15:00,2010-11-25 21:00:00,1.2,0.5403077
2010-11-24 21:30:00,2010-11-24 21:30:00,0.6006667,0.70809096
2010-11-24 21:30:00,2010-11-24 21:45:00,0.45666665,0.705084
2010-11-24 21:30:00,2010-11-24 22:00:00,0.49359998,0.6923021
2010-11-24 21:30:00,2010-11-24 22:15:00,0.5081333,0.61984134
2010-11-24 21:30:00,2010-11-24 22:30:00,0.34373334,0.56484133
2010-11-24 21:30:00,2010-11-24 22:45:00,0.26226667,0.53561014
2010-11-24 21:30:00,2010-11-24 23:00:00,0.21373333,0.4917618
2010-11-24 21:30:00,2010-11-24 23:15:00,0.18946666,0.45652345
2010-11-24 21:30:00,2010-11-24 23:30:00,0.20653333,0.4633197
2010-11-24 21:30:00,2010-11-24 23:45:00,0.1708,0.43894878
2010-11-24 21:30:00,2010-11-25 00:00:00,0.23986667,0.3271456
2010-11-24 21:30:00,2010-11-25 00:15:00,0.16853333,0.3275761
2010-11-24 21:30:00,2010-11-25 00:30:00,0.16266666,0.31931692
2010-11-24 21:30:00,2010-11-25 00:45:00,0.27199998,0.3207416
2010-11-24 21:30:00,2010-11-25 01:00:00,0.13106667,0.32653973
2010-11-24 21:30:00,2010-11-25 01:15:00,0.1796,0.3148977
2010-11-24 21:30:00,2010-11-25 01:30:00,0.25893334,0.30168504
2010-11-24 21:30:00,2010-11-25 01:45:00,0.123066664,0.29353034
2010-11-24 21:30:00,2010-11-25 02:00:00,0.21666667,0.29314134
2010-11-24 21:30:00,2010-11-25 02:15:00,0.2052,0.30228493
2010-11-24 21:30:00,2010-11-25 02:30:00,0.17493334,0.26652592
2010-11-24 21:30:00,2010-11-25 02:45:00,0.2104,0.2992734
2010-11-24 21:30:00,2010-11-25 03:00:00,0.16226667,0.28244063
2010-11-24 21:30:00,2010-11-25 03:15:00,0.23239999,0.28775877
2010-11-24 21:30:00,2010-11-25 03:30:00,0.17533332,0.28280234
2010-11-24 21:30:00,2010-11-25 03:45:00,0.16866666,0.312492
2010-11-24 21:30:00,2010-11-25 04:00:00,0.27186665,0.29327092
2010-11-24 21:30:00,2010-11-25 04:15:00,0.12733333,0.28967705
2010-11-24 21:30:00,2010-11-25 04:30:00,0.18413332,0.30354527
2010-11-24 21:30:00,2010-11-25 04:45:00,0.25746667,0.30234003
2010-11-24 21:30:00,2010-11-25 05:00:00,0.12253332,0.2874505
2010-11-24 21:30:00,2010-11-25 05:15:00,0.2212,0.32241577
2010-11-24 21:30:00,2010-11-25 05:30:00,0.19066666,0.3294075
2010-11-24 21:30:00,2010-11-25 05:45:00,0.18533333,0.31157532
2010-11-24 21:30:00,2010-11-25 06:00:00,0.20133333,0.35017064
2010-11-24 21:30:00,2010-11-25 06:15:00,0.15693334,0.38551456
2010-11-24 21:30:00,2010-11-25 06:30:00,0.2681333,0.4775925
2010-11-24 21:30:00,2010-11-25 06:45:00,0.8534667,0.4662579
2010-11-24 21:30:00,2010-11-25 07:00:00,0.40053332,0.46824032
2010-11-24 21:30:00,2010-11-25 07:15:00,0.6062667,0.454843
2010-11-24 21:30:00,2010-11-25 07:30:00,0.35653332,0.5133052
2010-11-24 21:30:00,2010-11-25 07:45:00,0.43866664,0.55727947
2010-11-24 21:30:00,2010-11-25 08:00:00,0.41986668,0.54476905
2010-11-24 21:30:00,2010-11-25 08:15:00,0.45013332,0.52036536
2010-11-24 21:30:00,2010-11-25 08:30:00,0.5382666,0.4846324
2010-11-24 21:30:00,2010-11-25 08:45:00,0.52199996,0.45718545
2010-11-24 21:30:00,2010-11-25 09:00:00,0.5829333,0.42166224
2010-11-24 21:30:00,2010-11-25 09:15:00,0.50146663,0.41280627
2010-11-24 21:30:00,2010-11-25 09:30:00,0.48426667,0.4201842
2010-11-24 21:30:00,2010-11-25 09:45:00,0.49666664,0.41086704
2010-11-24 21:30:00,2010-11-25 10:00:00,0.2016,0.40592858
2010-11-24 21:30:00,2010-11-25 10:15:00,0.17546663,0.4082655
2010-11-24 21:30:00,2010-11-25 10:30:00,0.21919997,0.42726943
2010-11-24 21:30:00,2010-11-25 10:45:00,0.18359996,0.40867272
2010-11-24 21:30:00,2010-11-25 11:00:00,0.1486666,0.4105592
2010-11-24 21:30:00,2010-11-25 11:15:00,0.27133337,0.41005507
2010-11-24 21:30:00,2010-11-25 11:30:00,0.14919999,0.39364287
2010-11-24 21:30:00,2010-11-25 11:45:00,0.15893327,0.40376335
2010-11-24 21:30:00,2010-11-25 12:00:00,0.28439996,0.4109711
2010-11-24 21:30:00,2010-11-25 12:15:00,0.12546663,0.3941786
2010-11-24 21:30:00,2010-11-25 12:30:00,0.21013331,0.3748612
2010-11-24 21:30:00,2010-11-25 12:45:00,0.9637333,0.3815581
2010-11-24 21:30:00,2010-11-25 13:00:00,0.4665333,0.37414038
2010-11-24 21:30:00,2010-11-25 13:15:00,0.68146664,0.3635424
2010-11-24 21:30:00,2010-11-25 13:30:00,0.59239995,0.35816923
2010-11-24 21:30:00,2010-11-25 13:45:00,0.47093332,0.33850506
2010-11-24 21:30:00,2010-11-25 14:00:00,0.48746666,0.36164433
2010-11-24 21:30:00,2010-11-25 14:15:00,0.3624,0.4199609
2010-11-24 21:30:00,2010-11-25 14:30:00,0.22466666,0.3846328
2010-11-24 21:30:00,2010-11-25 14:45:00,0.20759998,0.34679514
2010-11-24 21:30:00,2010-11-25 15:00:00,0.13346663,0.34419766
2010-11-24 21:30:00,2010-11-25 15:15:00,0.24533334,0.33983943
2010-11-24 21:30:00,2010-11-25 15:30:00,0.18573333,0.35744452
2010-11-24 21:30:00,2010-11-25 15:45:00,0.17186667,0.37305495
2010-11-24 21:30:00,2010-11-25 16:00:00,0.2068,0.3971541
2010-11-24 21:30:00,2010-11-25 16:15:00,0.19160001,0.3832714
2010-11-24 21:30:00,2010-11-25 16:30:00,0.21613333,0.39544156
2010-11-24 21:30:00,2010-11-25 16:45:00,0.13426666,0.40954056
2010-11-24 21:30:00,2010-11-25 17:00:00,0.26146665,0.41156328
2010-11-24 21:30:00,2010-11-25 17:15:00,0.29333332,0.41579264
2010-11-24 21:30:00,2010-11-25 17:30:00,0.41079998,0.4318844
2010-11-24 21:30:00,2010-11-25 17:45:00,0.54693335,0.42925555
2010-11-24 21:30:00,2010-11-25 18:00:00,0.45559996,0.471443
2010-11-24 21:30:00,2010-11-25 18:15:00,0.5201333,0.51938456
2010-11-24 21:30:00,2010-11-25 18:30:00,0.5048,0.4927327
2010-11-24 21:30:00,2010-11-25 18:45:00,0.5197333,0.502785
2010-11-24 21:30:00,2010-11-25 19:00:00,0.49173334,0.562604
2010-11-24 21:30:00,2010-11-25 19:15:00,0.45293334,0.5539194
2010-11-24 21:30:00,2010-11-25 19:30:00,0.9118666,0.6776331
2010-11-24 21:30:00,2010-11-25 19:45:00,0.8441333,0.54637635
2010-11-24 21:30:00,2010-11-25 20:00:00,0.998,0.6838826
2010-11-24 21:30:00,2010-11-25 20:15:00,0.68106663,0.64143926
2010-11-24 21:30:00,2010-11-25 20:30:00,1.4341334,0.5613314
2010-11-24 21:30:00,2010-11-25 20:45:00,1.578,0.5685343
2010-11-24 21:30:00,2010-11-25 21:00:00,1.2,0.5694746
2010-11-24 21:30:00,2010-11-25 21:15:00,1.3104,0.58986336
2010-11-24 21:45:00,2010-11-24 21:45:00,0.45666665,0.63052225
2010-11-24 21:45:00,2010-11-24 22:00:00,0.49359998,0.6343491
2010-11-24 21:45:00,2010-11-24 22:15:00,0.5081333,0.6341724
2010-11-24 21:45:00,2010-11-24 22:30:00,0.34373334,0.5211613
2010-11-24 21:45:00,2010-11-24 22:45:00,0.26226667,0.50559443
2010-11-24 21:45:00,2010-11-24 23:00:00,0.21373333,0.46596792
2010-11-24 21:45:00,2010-11-24 23:15:00,0.18946666,0.48070037
2010-11-24 21:45:00,2010-11-24 23:30:00,0.20653333,0.45703357
2010-11-24 21:45:00,2010-11-24 23:45:00,0.1708,0.46682355
2010-11-24 21:45:00,2010-11-25 00:00:00,0.23986667,0.3481735
2010-11-24 21:45:00,2010-11-25 00:15:00,0.16853333,0.3437959
2010-11-24 21:45:00,2010-11-25 00:30:00,0.16266666,0.3274002
2010-11-24 21:45:00,2010-11-25 00:45:00,0.27199998,0.33047906
2010-11-24 21:45:00,2010-11-25 01:00:00,0.13106667,0.31658688
2010-11-24 21:45:00,2010-11-25 01:15:00,0.1796,0.31312332
2010-11-24 21:45:00,2010-11-25 01:30:00,0.25893334,0.29172805
2010-11-24 21:45:00,2010-11-25 01:45:00,0.123066664,0.29296848
2010-11-24 21:45:00,2010-11-25 02:00:00,0.21666667,0.2945593
2010-11-24 21:45:00,2010-11-25 02:15:00,0.2052,0.30248645
